z   Li_{-1/2}   Li_{1/2}   Li_{3/2}   Li_{5/2}   Li_{7/2}
3.266331658291449   -0.34438685022846716   -1.9472032781047666   -4.993758672877209   -9.050642805592684   -13.352320343597318
3.7688442211055246   -0.31828899149425055   -2.1135603076825173   -6.01460037671196   -11.813062083094781   -18.572973121392785
4.271356783919593   -0.2957241180038279   -2.267687277894572   -7.115891114482657   -15.108937839505499   -25.314117987102993
4.773869346733662   -0.2765199796988484   -2.4113347736755273   -8.29192875017183   -18.97722711209543   -33.85373169865768
5.276381909547737   -0.2602341520022704   -2.546085830646125   -9.537854347444556   -23.45423698317115   -44.48868382968793
5.778894472361806   -0.2463745561043841   -2.6732827602402214   -10.849544983236093   -28.574022876893043   -57.53350748330959
6.281407035175874   -0.23449201249086535   -2.7940291956898   -12.223491369541373   -34.36872760813287   -73.31935557707077
6.783919597989943   -0.22420930917015872   -2.9092206907417886   -13.656685003039033   -40.868860736253566   -92.19311229938761
7.2864321608040115   -0.21522225998821887   -3.019581855725378   -15.14652291678963   -48.103525499553264   -114.51663140122896
7.788944723618087   -0.2072903275897501   -3.125700917538592   -16.690730662378982   -56.10060252300133   -140.66607727969594
8.291457286432156   -0.2002247845119362   -3.2280587409037453   -18.287301317475556   -64.88689896744367   -171.03134935656178
8.793969849246224   -0.19387764454183698   -3.32705201778428   -19.934447594717106   -74.48827044417094   -206.01557428766932
9.2964824120603   -0.18813240708887988   -3.4230113324301277   -21.63056427758444   -84.92972156622734   -246.03465385112352
9.798994974874368   -0.18289672410029542   -3.516215063937973   -23.37419864777046   -96.2354897187556   -291.5168589794601
10.301507537688437   -0.17809675299614178   -3.6069000404063774   -25.16402704707386   -108.42911557836504   -342.90246242913855
10.804020100502505   -0.17367287183174104   -3.6952697112895905   -26.998836140913763   -121.53350308803454   -400.64340413871764
11.306532663316574   -0.16957644950317777   -3.7815004435636936   -28.877507794968214   -135.57097096394813   -465.20298452158266
11.80904522613065   -0.16576741437404066   -3.865746405057204   -30.799006743949693   -150.5632973338838   -537.0555818570793
12.311557788944718   -0.16221241967446395   -3.9481433832905592   -32.76237043431448   -166.53175874758978   -616.686390653227
12.814070351758787   -0.15888345241972546   -4.028811799370799   -34.76670057442015   -183.49716452891946   -704.5911784063418
13.316582914572862   -0.15575677155633683   -4.107859109665897   -36.81115603846107   -201.47988723482342   -801.2760586163959
13.81909547738693   -0.15281209097652254   -4.185381738421219   -38.89494685427655   -220.4998898306673   -907.2572782605705
14.321608040201   -0.15003194543485132   -4.261466647996066   -41.017329067430005   -240.5767500721352   -1023.0610182024732
14.824120603015075   -0.14740119389530631   -4.336192626618357   -43.177600320488295   -261.7296824919019   -1149.2232052367026
15.326633165829136   -0.14490662688254666   -4.409631353891607   -45.37509602138726   -283.97755831752016   -1286.2893346498042
15.829145728643212   -0.14253665317213937   -4.4818482898094585   -47.60918600121615   -307.3389235905489   -1434.8143023280031
16.331658291457273   -0.1402810475217351   -4.55290342232302   -49.879271581919895   -331.8320157121347   -1595.3622455659909
16.83417085427135   -0.13813074578014908   -4.622851900537164   -52.184782989931996   -357.4747786044099   -1768.5063918350784
17.336683417085425   -0.13607767709706123   -4.691744574640821   -54.525177063782124   -384.2848766480225   -1954.8289148563902
17.839195979899486   -0.13411462544134853   -4.759628459168195   -56.899935213146314   -412.2797075325049   -2154.9207973994407
18.34170854271356   -0.13223511447131303   -4.826547132756333   -59.30856159424522   -441.4764141367356   -2369.3817002899427
18.844221105527637   -0.13043331116451579   -4.892541084930674   -61.75058147242096   -471.89189554065103   -2598.819837165428
19.3467336683417   -0.12870394463685422   -4.957648018411513   -64.22553974748367   -503.5428172559714   -2843.8518545647908
19.849246231155774   -0.12704223735188483   -5.021903113842873   -66.73299962126869   -536.4456207524174   -3105.1027169789004
20.35175879396985   -0.12544384650829243   -5.085339262592813   -69.2725413899865   -570.6165323463753   -3383.205596525384
20.85427135678391   -0.12390481384357124   -5.14798727228066   -71.84376134652877   -606.0715715109113   -3678.8017669424257
21.356783919597987   -0.12242152244004904   -5.209876048892377   -74.44627078002483   -642.8265586591099   -3992.5405016240916
21.85929648241205   -0.12099065939063303   -5.271032758705671   -77.07969506171658   -680.8971224467773   -4325.07897544421
22.361809045226124   -0.1196091833946595   -5.331482972728031   -79.74367280770632   -720.2987066354857   -4677.082170138001
22.8643216080402   -0.11827429652273905   -5.391250795927561   -82.43785511037696   -761.0465765524448   -5049.222783029586
23.36683417085426   -0.11698341952373327   -5.45035898318911   -85.16190483134318   -803.1558251799029   -5442.181138911388
23.869346733668337   -0.11573417015467559   -5.508829043641161   -87.91549594968647   -846.6413789033821   -5856.645104896651
24.3718592964824   -0.11452434410136211   -5.566681334760656   -90.69831295999221   -891.5180029451105   -6293.310008080258
24.874371859296474   -0.1133518981279176   -5.623935147464088   -93.51005031536505   -937.8003065064681   -6752.878555856039
25.37688442211055   -0.11221493515128825   -5.680608783226353   -96.35041191115893   -985.5027476409206   -7236.0607587494715
25.87939698492461   -0.11111169098394359   -5.736719624128364   -99.21911060564926   -1034.6396378769643   -7743.573855635611
26.381909547738687   -0.11004052252713631   -5.792284196615577   -102.11586777429432   -1085.225146608775   -8276.142241221061
26.884422110552762   -0.10899989722946328   -5.847318229648526   -105.04041289459957   -1137.2733052706615   -8834.4973956772
27.386934673366824   -0.10798838365245803   -5.901836707840451   -107.99248315892146   -1190.7980113100475   -9419.377816320026
27.8894472361809   -0.10700464300752312   -5.955853920103315   -110.97182311282438   -1245.8130319723969   -10031.52895123873
28.391959798994975   -0.10604742154747857   -6.009383504260291   -113.97818431685081   -1302.3320079103626   -10671.703134781399
28.894472361809036   -0.10511554371199579   -6.06243848802824   -117.01132502978264   -1360.3684566284612   -11340.659524812758
29.396984924623112   -0.10420790593972526   -6.115031326726599   -120.07100991165998   -1419.9357757736161   -12039.164041663753
29.899497487437174   -0.10332347107142525   -6.167173938028212   -123.15700974499295   -1481.0472462810787   -12767.98930869777
30.40201005025125   -0.1024612632781966   -6.218877734032194   -126.2691011727533   -1543.7160353845554   -13527.914594423544
30.904522613065325   -0.10162036345730789   -6.270153650907893   -129.4070664518618   -1607.9551994985889   -14319.72575608796
31.407035175879386   -0.1007999050452778   -6.321012176332001   -132.57069322100966   -1673.7776869807296   -15144.215184686991
31.909547738693462   -0.09999907020406079   -6.371463374917184   -135.75977428175491   -1741.1963407804128   -16002.181751335926
32.41206030150752   -0.09921708634151066   -6.421516911809703   -138.97410739192907   -1810.2239009809464   -16894.43075494334
32.9145728643216   -0.09845322293190388   -6.471182074615298   -142.2134950704769   -1880.8730072406192   -17821.773871137222
33.417085427135675   -0.09770678860630072   -6.520467793796296   -145.47774441292304   -1953.1562011384126   -18785.029102393215
33.919597989949736   -0.09697712848599323   -6.569382661668751   -148.76666691673245   -2027.0859284295161   -19785.020729319
34.42211055276381   -0.0962636217353154   -6.617934950115642   -152.08007831588998   -2102.674541215428   -20822.57926305045
34.92462311557789   -0.09556567931273209   -6.666132627120981   -155.41779842407982   -2179.9343000330978   -21898.54139871753
35.42713567839195   -0.0948827419014351   -6.713983372219661   -158.77965098589812   -2258.8773758673224   -23013.749969940774
35.929648241206024   -0.09421427800270299   -6.761494590948965   -162.16546353557516   -2339.5158520902874   -24169.053904320623
36.4321608040201   -0.09355978217706357   -6.808673428379679   -165.57506726272425   -2421.8617263318733   -25365.30817988352
36.93467336683416   -0.09291877341986662   -6.855526781797681   -169.00829688467488   -2505.9269122841947   -26603.373782451534
37.43718592964824   -0.0922907936592607   -6.902061312600468   -172.46499052497865   -2591.7232414435543   -27884.1176639029
37.9396984924623   -0.09167540636579095   -6.948283457467353   -175.94498959770755   -2679.2624647927883   -29208.41270129249
38.442211055276374   -0.09107219526391992   -6.994199438856983   -179.44813869719573   -2768.5562544268905   -30577.137656803832
38.94472361809045   -0.09048076313673527   -7.039815274881127   -182.97428549289623   -2859.6162051244896   -31991.177138503775
39.44723618090451   -0.0899007307159628   -7.085136788599565   -186.52328062905312   -2952.4538358677414   -33451.42156187416
39.94974874371859   -0.08933173565016518   -7.130169616777127   -190.0949776289078   -3047.0805913129507   -34958.76711209477
40.45226130653265   -0.08877343154468469   -7.174919218140513   -193.68923280317736   -3143.5078432141186   -36514.11570705298
40.954773869346724   -0.08822548706749468   -7.219390881169474   -197.30590516256552   -3241.7468918015575   -38118.37496105798
41.4572864321608   -0.08768758511566681   -7.263589731454107   -200.94485633407675   -3341.808967117469   -39772.458149236285
41.95979899497486   -0.08715942203764608   -7.307520738647502   -204.60595048092574   -3443.7052303104056   -41477.28417258833
42.46231155778894   -0.08664070690696203   -7.35118872304068   -208.2890542258447   -3547.44677489035   -43233.77752368574
42.96482412060301   -0.08613116084339525   -7.3945983617846345   -211.99403657760396   -3653.0446279460416   -45042.86825298911
43.467336683417074   -0.08563051637797063   -7.437754194782406   -215.72076886057656   -3760.5097513261803   -46905.49193576898
43.96984924623115   -0.08513851685846552   -7.4806606302723875   -219.46912464718483   -3869.8530427859623   -48822.58963961153
44.472361809045225   -0.0846549158924076   -7.523321950122405   -223.23897969307885   -3981.0853371003373   -50795.10789249156
44.974874371859286   -0.08417947682479461   -7.565742314852749   -227.0302118749067   -4094.2174071453765   -52823.998651397254
45.47738693467336   -0.0837119722480022   -7.607925768404949   -230.8427011305449   -4209.259964948991   -54910.21927149069
45.97989949748742   -0.08325218354155761   -7.649876242671841   -234.67632940166297   -4326.223662712177   -57054.73247578828
46.4824120603015   -0.08279990043964776   -7.691597561803449   -238.53098057850966   -4445.119093802011   -59258.50632534806
46.984924623115575   -0.08235492062440511   -7.733093446302071   -242.40654044680744   -4565.956793717379   -61522.51418994831
47.487437185929636   -0.08191704934317176   -7.774367516919087   -246.30289663665562   -4688.747241028569   -63847.73471924538
47.98994974874371   -0.08148609904808625   -7.815423298365122   -250.2199385733445   -4813.500858291669   -66235.15181439732
48.49246231155777   -0.08106188905646824   -7.856264222844362   -254.157557429988   -4940.228012938667   -68685.75460014024
48.99497487437185   -0.08064424523059527   -7.896893633423166   -258.1156460818921   -5068.939018144251   -71200.53739730701
49.497487437185924   -0.08023299967557443   -7.937314787242336   -262.0940990625745   -5199.644133670039   -73780.49969577491
50.0   -0.07982799045411113   -7.97753085858187   -266.0928125213626   -5332.353566687146   -76426.64612783266
