z   Li_{-1/2}   Li_{1/2}   Li_{3/2}   Li_{5/2}   Li_{7/2}
-31.515037593984964   -2.056804794328443e-14   -2.056804794328473e-14   -2.0568047943284882e-14   -2.0568047943284955e-14   -2.0568047943284993e-14
-31.261904761904763   -2.6492763838506052e-14   -2.649276383850655e-14   -2.6492763838506797e-14   -2.6492763838506923e-14   -2.6492763838506983e-14
-31.00877192982456   -3.412411998154716e-14   -3.412411998154799e-14   -3.41241199815484e-14   -3.41241199815486e-14   -3.412411998154871e-14
-30.75563909774436   -4.3953721537446325e-14   -4.3953721537447695e-14   -4.3953721537448376e-14   -4.395372153744872e-14   -4.395372153744889e-14
-30.502506265664163   -5.6614782682632165e-14   -5.661478268263443e-14   -5.661478268263556e-14   -5.661478268263613e-14   -5.661478268263641e-14
-30.249373433583962   -7.29229176981286e-14   -7.292291769813236e-14   -7.292291769813424e-14   -7.292291769813519e-14   -7.292291769813566e-14
-29.99624060150376   -9.39286821150219e-14   -9.392868211502815e-14   -9.392868211503126e-14   -9.392868211503282e-14   -9.39286821150336e-14
-29.74310776942356   -1.2098524856598232e-13   -1.2098524856599267e-13   -1.2098524856599785e-13   -1.2098524856600042e-13   -1.2098524856600174e-13
-29.48997493734336   -1.558355769609102e-13   -1.5583557696092736e-13   -1.5583557696093594e-13   -1.5583557696094023e-13   -1.5583557696094238e-13
-29.236842105263158   -2.0072469441177482e-13   -2.007246944118033e-13   -2.0072469441181756e-13   -2.0072469441182467e-13   -2.0072469441182823e-13
-28.98370927318296   -2.585443178793887e-13   -2.5854431787943597e-13   -2.585443178794596e-13   -2.585443178794714e-13   -2.585443178794773e-13
-28.73057644110276   -3.330191360042036e-13   -3.3301913600428205e-13   -3.330191360043212e-13   -3.3301913600434086e-13   -3.3301913600435066e-13
-28.477443609022558   -4.289467502307234e-13   -4.289467502308535e-13   -4.289467502309186e-13   -4.289467502309511e-13   -4.2894675023096736e-13
-28.224310776942357   -5.525067320190541e-13   -5.525067320192699e-13   -5.525067320193778e-13   -5.525067320194318e-13   -5.525067320194588e-13
-27.971177944862156   -7.116587053338511e-13   -7.116587053342092e-13   -7.116587053343883e-13   -7.116587053344777e-13   -7.116587053345226e-13
-27.718045112781954   -9.166550985300108e-13   -9.16655098530605e-13   -9.16655098530902e-13   -9.166550985310505e-13   -9.166550985311248e-13
-27.464912280701757   -1.180701596654835e-12   -1.1807015966558208e-12   -1.1807015966563135e-12   -1.1807015966565601e-12   -1.1807015966566833e-12
-27.211779448621556   -1.520807839915692e-12   -1.5208078399173275e-12   -1.5208078399181452e-12   -1.520807839918554e-12   -1.5208078399187585e-12
-26.958646616541355   -1.95888316955063e-12   -1.9588831695533433e-12   -1.9588831695547e-12   -1.9588831695553785e-12   -1.9588831695557174e-12
-26.705513784461154   -2.5231480080749447e-12   -2.523148008079446e-12   -2.523148008081697e-12   -2.5231480080828227e-12   -2.5231480080833853e-12
-26.452380952380953   -3.249951793761916e-12   -3.249951793769385e-12   -3.249951793773119e-12   -3.249951793774986e-12   -3.24995179377592e-12
-26.19924812030075   -4.186114579077614e-12   -4.186114579090006e-12   -4.186114579096201e-12   -4.186114579099299e-12   -4.186114579100848e-12
-25.946115288220554   -5.391943136755075e-12   -5.391943136775633e-12   -5.391943136785912e-12   -5.391943136791052e-12   -5.391943136793621e-12
-25.692982456140353   -6.945115868374548e-12   -6.9451158684086556e-12   -6.945115868425709e-12   -6.945115868434235e-12   -6.945115868438499e-12
-25.43984962406015   -8.945686777799647e-12   -8.945686777856235e-12   -8.945686777884527e-12   -8.945686777898674e-12   -8.945686777905748e-12
-25.18671679197995   -1.1522530860980947e-11   -1.1522530861074829e-11   -1.152253086112177e-11   -1.152253086114524e-11   -1.1522530861156975e-11
-24.93358395989975   -1.4841646118396268e-11   -1.4841646118552024e-11   -1.4841646118629905e-11   -1.4841646118668844e-11   -1.484164611868831e-11
-24.680451127819552   -1.911684699837339e-11   -1.9116846998631804e-11   -1.9116846998761013e-11   -1.9116846998825617e-11   -1.911684699885792e-11
-24.42731829573935   -2.462353813338814e-11   -2.462353813381687e-11   -2.4623538134031236e-11   -2.4623538134138418e-11   -2.462353813419201e-11
-24.17418546365915   -3.1716455661158455e-11   -3.1716455661869753e-11   -3.171645566222541e-11   -3.171645566240323e-11   -3.171645566249214e-11
-23.92105263157895   -4.085251901063454e-11   -4.085251901181465e-11   -4.0852519012404704e-11   -4.0852519012699736e-11   -4.0852519012847246e-11
-23.667919799498748   -5.262026524457768e-11   -5.262026524653558e-11   -5.2620265247514533e-11   -5.2620265248004005e-11   -5.2620265248248747e-11
-23.414786967418546   -6.77777620928504e-11   -6.777776209609873e-11   -6.77777620977229e-11   -6.777776209853497e-11   -6.777776209894101e-11
-23.16165413533835   -8.730144200023818e-11   -8.730144200562742e-11   -8.730144200832205e-11   -8.730144200966936e-11   -8.7301442010343e-11
-22.908521303258148   -1.1244900303464469e-10   -1.124490030435859e-10   -1.124490030480565e-10   -1.124490030502918e-10   -1.1244900305140945e-10
-22.655388471177947   -1.4484042867609786e-10   -1.4484042869093208e-10   -1.448404286983492e-10   -1.4484042870205773e-10   -1.4484042870391201e-10
-22.402255639097746   -1.8656234570915295e-10   -1.8656234573376416e-10   -1.8656234574606977e-10   -1.8656234575222257e-10   -1.8656234575529896e-10
-22.149122807017545   -2.403024428610634e-10   -2.403024429018955e-10   -2.403024429223115e-10   -2.403024429325195e-10   -2.4030244293762353e-10
-21.895989974937343   -3.095226093144981e-10   -3.0952260938224195e-10   -3.0952260941611386e-10   -3.095226094330498e-10   -3.0952260944151777e-10
-21.642857142857146   -3.9868194652330303e-10   -3.9868194663569573e-10   -3.9868194669189206e-10   -3.9868194671999024e-10   -3.9868194673403934e-10
-21.389724310776945   -5.135240195533988e-10   -5.135240197398677e-10   -5.135240198331022e-10   -5.135240198797195e-10   -5.135240199030281e-10
-21.136591478696744   -6.614468524235739e-10   -6.614468527329416e-10   -6.614468528876254e-10   -6.614468529649673e-10   -6.614468530036382e-10
-20.883458646616543   -8.519795022152693e-10   -8.519795027285363e-10   -8.519795029851698e-10   -8.519795031134866e-10   -8.519795031776449e-10
-20.63032581453634   -1.09739591242897e-09   -1.097395913280523e-09   -1.0973959137062995e-09   -1.0973959139191879e-09   -1.097395914025632e-09
-20.37719298245614   -1.4135055894703077e-09   -1.4135055908831057e-09   -1.4135055915895047e-09   -1.4135055919427042e-09   -1.413505592119304e-09
-20.124060150375943   -1.8206720369352818e-09   -1.8206720392792325e-09   -1.8206720404512077e-09   -1.8206720410371954e-09   -1.8206720413301892e-09
-19.87092731829574   -2.3451245543149563e-09   -2.3451245582037673e-09   -2.3451245601481728e-09   -2.3451245611203755e-09   -2.345124561606477e-09
-19.61779448621554   -3.0206479050084083e-09   -3.0206479114602727e-09   -3.0206479146862047e-09   -3.0206479162991705e-09   -3.020647917105654e-09
-19.36466165413534   -3.890758700527155e-09   -3.89075871123134e-09   -3.890758716583432e-09   -3.8907587192594785e-09   -3.890758720597501e-09
-19.11152882205514   -5.011508701580973e-09   -5.011508719340115e-09   -5.011508728219686e-09   -5.011508732659472e-09   -5.0115087348793644e-09
-18.858395989974937   -6.455095622134667e-09   -6.455095651598576e-09   -6.455095666330531e-09   -6.455095673696508e-09   -6.455095677379497e-09
-18.60526315789474   -8.314514041101621e-09   -8.314514089984721e-09   -8.314514114426272e-09   -8.314514126647049e-09   -8.314514132757435e-09
-18.352130325814535   -1.0709546029071877e-08   -1.0709546110173048e-08   -1.0709546150723634e-08   -1.0709546170998927e-08   -1.0709546181136575e-08
-18.098997493734338   -1.3794477400594878e-08   -1.3794477535148538e-08   -1.3794477602425367e-08   -1.3794477636063784e-08   -1.3794477652882991e-08
-17.84586466165414   -1.7768036665591276e-08   -1.77680368888271e-08   -1.7768037000445016e-08   -1.7768037056253972e-08   -1.7768037084158453e-08
-17.592731829573935   -2.2886196937417266e-08   -2.2886197307784258e-08   -2.2886197492967756e-08   -2.2886197585559505e-08   -2.288619763185538e-08
-17.339598997493738   -2.947866548364889e-08   -2.947866609811885e-08   -2.9478666405353832e-08   -2.9478666558971327e-08   -2.9478666635780073e-08
-17.086466165413533   -3.797012315936148e-08   -3.797012417881876e-08   -3.7970124688547413e-08   -3.7970124943411746e-08   -3.797012507084391e-08
-16.833333333333336   -4.8907581944290315e-08   -4.890758363565559e-08   -4.890758448133825e-08   -4.890758490417959e-08   -4.890758511560026e-08
-16.580200501253138   -6.299562292544654e-08   -6.299562573156361e-08   -6.299562713462218e-08   -6.299562783615149e-08   -6.299562818691614e-08
-16.327067669172934   -8.114178471367342e-08   -8.114178936925729e-08   -8.114179169704934e-08   -8.11417928609454e-08   -8.114179344289343e-08
-16.073934837092736   -1.0451502615732224e-07   -1.0451503388132683e-07   -1.0451503774332935e-07   -1.0451503967433069e-07   -1.0451504063983138e-07
-15.820802005012531   -1.3462102943882262e-07   -1.346210422535947e-07   -1.3462104866098122e-07   -1.3462105186467463e-07   -1.3462105346652137e-07
-15.567669172932334   -1.7339919446247895e-07   -1.7339921572326138e-07   -1.7339922635365362e-07   -1.7339923166885006e-07   -1.7339923432644838e-07
-15.31453634085213   -2.2334757274252963e-07   -2.2334760801595146e-07   -2.2334762565266455e-07   -2.2334763447102178e-07   -2.2334763888020065e-07
-15.061403508771932   -2.876837887834382e-07   -2.8768384730500314e-07   -2.876838765657902e-07   -2.876838911961852e-07   -2.876838985113832e-07
-14.808270676691734   -3.705523151358311e-07   -3.70552412228012e-07   -3.705524607741123e-07   -3.7055248504716566e-07   -3.7055249718369344e-07
-14.55513784461153   -4.772914532232634e-07   -4.772916143073227e-07   -4.772916948493732e-07   -4.772917351204055e-07   -4.772917552559239e-07
-14.302005012531332   -6.147772179776369e-07   -6.147774852295679e-07   -6.147776188555782e-07   -6.147776856685982e-07   -6.147777190751133e-07
-14.048872180451127   -7.918662779812763e-07   -7.918667213745604e-07   -7.91866943071298e-07   -7.918670539196985e-07   -7.918671093439096e-07
-13.79573934837093   -1.019966483193007e-06   -1.019967218819452e-06   -1.0199675866328786e-06   -1.01996777053966e-06   -1.0199678624930734e-06
-13.542606516290732   -1.3137717302727969e-06   -1.3137729507383022e-06   -1.3137735609714914e-06   -1.3137738660882313e-06   -1.3137740186466497e-06
-13.289473684210527   -1.6922085001071766e-06   -1.6922105249607608e-06   -1.6922115373884856e-06   -1.6922120436026587e-06   -1.692212296709849e-06
-13.03634085213033   -2.179655034730376e-06   -2.1796583941299574e-06   -2.179660073831741e-06   -2.1796609136832973e-06   -2.179661333609297e-06
-12.783208020050125   -2.807511678810468e-06   -2.8075172523309672e-06   -2.807520039095476e-06   -2.8075214324791496e-06   -2.80752212917146e-06
