r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV, core)/A (crust)   Z_eq   M_p* (MeV, core)/Z (crust)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
0.2501   8.85559658e+34   2.40534612e-05   7.29815304e+14   -0.547021068   1.00028412   0.4068363   0   451.263513   0   460.017622   0.0304958702   0.358743219   1141.37405
0.2551   8.85529655e+34   2.55249331e-05   7.2980615e+14   -0.547023261   1.00029559   0.406831803   0   451.268038   0   460.020384   0.0304951992   0.358739951   1141.36931
0.2601   8.85499059e+34   2.70552132e-05   7.29796815e+14   -0.547025499   1.0003073   0.406827217   0   451.272653   0   460.0232   0.0304945149   0.358736619   1141.36449
0.2651   8.85467869e+34   2.86454526e-05   7.29787298e+14   -0.547027779   1.00031923   0.406822542   0   451.277358   0   460.026072   0.0304938174   0.358733223   1141.35957
0.2701   8.85436086e+34   3.02968025e-05   7.29777601e+14   -0.547030104   1.00033138   0.406817778   0   451.282153   0   460.028998   0.0304931066   0.358729761   1141.35456
0.2751   8.8540371e+34   3.20104138e-05   7.29767722e+14   -0.547032472   1.00034377   0.406812925   0   451.287037   0   460.031978   0.0304923826   0.358726235   1141.34945
0.2801   8.85370741e+34   3.37874372e-05   7.29757662e+14   -0.547034884   1.00035638   0.406807983   0   451.292011   0   460.035014   0.0304916453   0.358722644   1141.34426
0.2851   8.85337179e+34   3.56290236e-05   7.29747421e+14   -0.54703734   1.00036922   0.406802952   0   451.297074   0   460.038104   0.0304908947   0.358718988   1141.33896
0.2901   8.85303023e+34   3.75363236e-05   7.29736999e+14   -0.547039839   1.00038228   0.406797831   0   451.302227   0   460.041249   0.0304901308   0.358715268   1141.33358
0.2951   8.85268275e+34   3.95104877e-05   7.29726395e+14   -0.547042381   1.00039557   0.406792622   0   451.30747   0   460.044449   0.0304893537   0.358711483   1141.3281
0.3001   8.85232933e+34   4.15526664e-05   7.29715611e+14   -0.547044968   1.00040909   0.406787324   0   451.312803   0   460.047703   0.0304885633   0.358707633   1141.32252
0.3051   8.85196998e+34   4.36640101e-05   7.29704645e+14   -0.547047598   1.00042284   0.406781937   0   451.318225   0   460.051012   0.0304877596   0.358703719   1141.31686
0.3101   8.85160471e+34   4.5845669e-05   7.29693498e+14   -0.547050271   1.00043682   0.406776461   0   451.323737   0   460.054376   0.0304869427   0.358699739   1141.3111
0.3151   8.85123351e+34   4.80987933e-05   7.2968217e+14   -0.547052989   1.00045102   0.406770895   0   451.329339   0   460.057794   0.0304861125   0.358695696   1141.30524
0.3201   8.85085637e+34   5.0424533e-05   7.2967066e+14   -0.54705575   1.00046545   0.406765241   0   451.335031   0   460.061268   0.030485269   0.358691587   1141.29929
0.3251   8.85047331e+34   5.2824038e-05   7.2965897e+14   -0.547058554   1.00048011   0.406759498   0   451.340812   0   460.064796   0.0304844123   0.358687413   1141.29325
0.3301   8.85008433e+34   5.52984581e-05   7.29647098e+14   -0.547061402   1.00049499   0.406753665   0   451.346683   0   460.068378   0.0304835423   0.358683175   1141.28712
0.3351   8.84968941e+34   5.78489431e-05   7.29635045e+14   -0.547064294   1.0005101   0.406747744   0   451.352644   0   460.072016   0.0304826591   0.358678872   1141.28089
0.3401   8.84928857e+34   6.04766426e-05   7.29622811e+14   -0.54706723   1.00052544   0.406741734   0   451.358694   0   460.075708   0.0304817626   0.358674505   1141.27457
0.3451   8.8488818e+34   6.3182706e-05   7.29610396e+14   -0.547070209   1.00054101   0.406735634   0   451.364834   0   460.079455   0.0304808528   0.358670073   1141.26815
0.3501   8.84846911e+34   6.59682827e-05   7.295978e+14   -0.547073232   1.0005568   0.406729446   0   451.371065   0   460.083257   0.0304799298   0.358665575   1141.26164
0.3551   8.84805049e+34   6.8834522e-05   7.29585023e+14   -0.547076298   1.00057282   0.406723168   0   451.377384   0   460.087113   0.0304789935   0.358661014   1141.25504
0.3601   8.84762594e+34   7.17825729e-05   7.29572064e+14   -0.547079408   1.00058907   0.406716802   0   451.383794   0   460.091024   0.030478044   0.358656387   1141.24834
0.3651   8.84719547e+34   7.48135845e-05   7.29558924e+14   -0.547082562   1.00060554   0.406710346   0   451.390293   0   460.09499   0.0304770812   0.358651696   1141.24155
0.3701   8.84675908e+34   7.79287057e-05   7.29545603e+14   -0.547085759   1.00062225   0.406703801   0   451.396883   0   460.099011   0.0304761051   0.35864694   1141.23467
0.3751   8.84631676e+34   8.11290852e-05   7.29532101e+14   -0.547089   1.00063918   0.406697168   0   451.403562   0   460.103086   0.0304751158   0.358642119   1141.22769
0.3801   8.84586852e+34   8.44158716e-05   7.29518418e+14   -0.547092285   1.00065633   0.406690445   0   451.41033   0   460.107216   0.0304741133   0.358637233   1141.22062
0.3851   8.84541436e+34   8.77902135e-05   7.29504554e+14   -0.547095613   1.00067372   0.406683633   0   451.417189   0   460.111401   0.0304730974   0.358632283   1141.21346
0.3901   8.84495428e+34   9.12532592e-05   7.29490508e+14   -0.547098985   1.00069133   0.406676732   0   451.424138   0   460.115641   0.0304720684   0.358627268   1141.2062
0.3951   8.84448827e+34   9.48061569e-05   7.29476282e+14   -0.547102401   1.00070917   0.406669743   0   451.431176   0   460.119935   0.030471026   0.358622188   1141.19885
0.4001   8.84401634e+34   9.84500547e-05   7.29461874e+14   -0.54710586   1.00072724   0.406662664   0   451.438304   0   460.124285   0.0304699705   0.358617043   1141.19141
0.4051   8.8435385e+34   0.000102186101   7.29447285e+14   -0.547109363   1.00074553   0.406655496   0   451.445522   0   460.128689   0.0304689016   0.358611834   1141.18387
0.4101   8.84305473e+34   0.000106015443   7.29432515e+14   -0.547112909   1.00076405   0.406648239   0   451.45283   0   460.133147   0.0304678196   0.35860656   1141.17624
0.4151   8.84256504e+34   0.000109939228   7.29417564e+14   -0.547116499   1.0007828   0.406640893   0   451.460228   0   460.137661   0.0304667242   0.358601221   1141.16851
0.4201   8.84206944e+34   0.000113958605   7.29402431e+14   -0.547120133   1.00080178   0.406633458   0   451.467716   0   460.142229   0.0304656157   0.358595817   1141.16069
0.4251   8.84156791e+34   0.00011807472   7.29387118e+14   -0.54712381   1.00082099   0.406625934   0   451.475293   0   460.146852   0.0304644939   0.358590349   1141.15278
0.4301   8.84106047e+34   0.000122288721   7.29371623e+14   -0.547127531   1.00084042   0.40661832   0   451.482961   0   460.15153   0.0304633588   0.358584815   1141.14477
0.4351   8.84054711e+34   0.000126601756   7.29355948e+14   -0.547131296   1.00086008   0.406610618   0   451.490718   0   460.156263   0.0304622105   0.358579217   1141.13668
0.4401   8.84002783e+34   0.00013101497   7.29340091e+14   -0.547135104   1.00087996   0.406602827   0   451.498565   0   460.16105   0.0304610489   0.358573555   1141.12848
0.4451   8.83950264e+34   0.00013552951   7.29324053e+14   -0.547138956   1.00090008   0.406594947   0   451.506502   0   460.165893   0.0304598741   0.358567827   1141.1202
0.4501   8.83897153e+34   0.000140146525   7.29307834e+14   -0.547142852   1.00092042   0.406586977   0   451.51453   0   460.17079   0.0304586861   0.358562034   1141.11182
0.4551   8.83843451e+34   0.000144867159   7.29291433e+14   -0.547146791   1.00094099   0.406578919   0   451.522647   0   460.175742   0.0304574848   0.358556177   1141.10334
0.4601   8.83789157e+34   0.000149692559   7.29274852e+14   -0.547150774   1.00096179   0.406570771   0   451.530854   0   460.180748   0.0304562703   0.358550255   1141.09478
0.4651   8.83734272e+34   0.000154623872   7.2925809e+14   -0.5471548   1.00098281   0.406562535   0   451.539151   0   460.18581   0.0304550425   0.358544268   1141.08612
0.4701   8.83678796e+34   0.000159662244   7.29241146e+14   -0.54715887   1.00100406   0.406554209   0   451.547538   0   460.190926   0.0304538015   0.358538217   1141.07736
0.4751   8.83622728e+34   0.00016480882   7.29224021e+14   -0.547162984   1.00102554   0.406545795   0   451.556015   0   460.196097   0.0304525473   0.3585321   1141.06852
0.4801   8.8356607e+34   0.000170064746   7.29206715e+14   -0.547167142   1.00104725   0.406537291   0   451.564581   0   460.201323   0.0304512798   0.358525919   1141.05958
0.4851   8.8350882e+34   0.000175431168   7.29189228e+14   -0.547171343   1.00106919   0.406528698   0   451.573238   0   460.206604   0.0304499991   0.358519673   1141.05054
0.4901   8.83450979e+34   0.000180909231   7.2917156e+14   -0.547175587   1.00109135   0.406520016   0   451.581985   0   460.21194   0.0304487052   0.358513362   1141.04142
0.4951   8.83392547e+34   0.00018650008   7.29153711e+14   -0.547179876   1.00111374   0.406511245   0   451.590822   0   460.21733   0.030447398   0.358506986   1141.0322
0.5001   8.83333524e+34   0.00019220486   7.29135681e+14   -0.547184208   1.00113636   0.406502385   0   451.599749   0   460.222775   0.0304460776   0.358500546   1141.02288
0.5051   8.8327391e+34   0.000198024717   7.2911747e+14   -0.547188583   1.0011592   0.406493436   0   451.608766   0   460.228276   0.030444744   0.35849404   1141.01347
0.5101   8.83213706e+34   0.000203960795   7.29099077e+14   -0.547193003   1.00118227   0.406484398   0   451.617873   0   460.233831   0.0304433971   0.35848747   1141.00397
0.5151   8.8315291e+34   0.000210014239   7.29080503e+14   -0.547197465   1.00120557   0.406475271   0   451.62707   0   460.23944   0.030442037   0.358480835   1140.99438
0.5201   8.83091524e+34   0.000216186193   7.29061749e+14   -0.547201972   1.0012291   0.406466055   0   451.636358   0   460.245105   0.0304406637   0.358474135   1140.98469
0.5251   8.83029548e+34   0.0002224778   7.29042813e+14   -0.547206522   1.00125286   0.40645675   0   451.645735   0   460.250825   0.0304392772   0.358467371   1140.97491
0.5301   8.82966981e+34   0.000228890206   7.29023696e+14   -0.547211116   1.00127684   0.406447355   0   451.655202   0   460.256599   0.0304378774   0.358460541   1140.96503
0.5351   8.82903823e+34   0.000235424554   7.29004398e+14   -0.547215753   1.00130105   0.406437872   0   451.66476   0   460.262428   0.0304364644   0.358453647   1140.95507
0.5401   8.82840075e+34   0.000242081987   7.28984919e+14   -0.547220435   1.00132549   0.406428299   0   451.674407   0   460.268312   0.0304350382   0.358446687   1140.94501
0.5451   8.82775737e+34   0.00024886365   7.28965259e+14   -0.547225159   1.00135016   0.406418638   0   451.684145   0   460.274251   0.0304335988   0.358439663   1140.93485
0.5501   8.82710809e+34   0.000255770685   7.28945418e+14   -0.547229928   1.00137505   0.406408887   0   451.693973   0   460.280245   0.0304321461   0.358432574   1140.9246
0.5551   8.8264529e+34   0.000262804235   7.28925395e+14   -0.54723474   1.00140017   0.406399047   0   451.703891   0   460.286294   0.0304306802   0.35842542   1140.91426
0.5601   8.82579181e+34   0.000269965444   7.28905192e+14   -0.547239596   1.00142552   0.406389118   0   451.713899   0   460.292397   0.0304292012   0.358418202   1140.90383
0.5651   8.82512483e+34   0.000277255454   7.28884808e+14   -0.547244495   1.0014511   0.406379101   0   451.723997   0   460.298556   0.0304277089   0.358410918   1140.8933
0.5701   8.82445194e+34   0.000284675407   7.28864242e+14   -0.547249438   1.00147691   0.406368994   0   451.734185   0   460.304769   0.0304262033   0.35840357   1140.88268
0.5751   8.82377315e+34   0.000292226447   7.28843496e+14   -0.547254424   1.00150294   0.406358798   0   451.744464   0   460.311037   0.0304246846   0.358396156   1140.87196
0.5801   8.82308847e+34   0.000299909714   7.28822569e+14   -0.547259455   1.0015292   0.406348513   0   451.754832   0   460.31736   0.0304231527   0.358388678   1140.86115
0.5851   8.82239789e+34   0.000307726352   7.2880146e+14   -0.547264529   1.00155569   0.406338139   0   451.765291   0   460.323738   0.0304216076   0.358381135   1140.85025
0.5901   8.82170141e+34   0.000315677502   7.28780171e+14   -0.547269646   1.00158241   0.406327676   0   451.77584   0   460.330171   0.0304200492   0.358373528   1140.83926
0.5951   8.82099904e+34   0.000323764305   7.28758701e+14   -0.547274807   1.00160935   0.406317124   0   451.786479   0   460.336659   0.0304184777   0.358365855   1140.82817
0.6001   8.82029077e+34   0.000331987902   7.28737049e+14   -0.547280012   1.00163652   0.406306483   0   451.797209   0   460.343201   0.030416893   0.358358117   1140.81699
0.6051   8.81957661e+34   0.000340349435   7.28715217e+14   -0.547285261   1.00166392   0.406295752   0   451.808028   0   460.349799   0.030415295   0.358350315   1140.80571
0.6101   8.81885655e+34   0.000348850045   7.28693204e+14   -0.547290553   1.00169155   0.406284933   0   451.818938   0   460.356451   0.0304136839   0.358342448   1140.79434
0.6151   8.8181306e+34   0.000357490873   7.2867101e+14   -0.547295889   1.00171941   0.406274025   0   451.829938   0   460.363159   0.0304120596   0.358334515   1140.78288
0.6201   8.81739876e+34   0.000366273058   7.28648634e+14   -0.547301268   1.00174749   0.406263027   0   451.841029   0   460.369921   0.030410422   0.358326518   1140.77133
0.6251   8.81666103e+34   0.000375197742   7.28626078e+14   -0.547306691   1.0017758   0.406251941   0   451.852209   0   460.376738   0.0304087713   0.358318456   1140.75968
