r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV, core)/A (crust)   Z_eq   M_p* (MeV, core)/Z (crust)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
11.6876   1.45624012e+32   1.39380738   5.97868047e+13   -0.658788344   1.54368908   0.0354681368   1116.17543   225.186982   40   39.9815645   0.00127105957   0.0283118992   948.29215
11.68885   1.44063066e+32   1.39387161   5.92393358e+13   -0.658807519   1.543638   0.0351442393   1113.72983   224.919372   40   39.9821738   0.00126221776   0.0280462461   948.264109
11.6901   1.42516771e+32   1.39393526   5.86952717e+13   -0.658826691   1.54358658   0.0348223455   1111.28246   224.645574   40   39.9827563   0.00125341115   0.0277824735   948.236046
11.69135   1.40985032e+32   1.39399833   5.815465e+13   -0.658845859   1.54353484   0.034502478   1108.83415   224.365826   40   39.9833133   0.00124463981   0.0275205928   948.207964
11.6926   1.39467753e+32   1.39406084   5.76175071e+13   -0.658865024   1.54348277   0.0341846583   1106.3857   224.080367   40   39.983846   0.00123590384   0.0272606145   948.179862
11.69385   1.37964837e+32   1.39412279   5.70838777e+13   -0.658884185   1.54343037   0.0338689071   1103.93788   223.789431   40   39.9843557   0.00122720337   0.0270025486   948.151744
11.6951   1.36476185e+32   1.39418417   5.6553795e+13   -0.658903343   1.54337765   0.0335552443   1101.49145   223.493248   40   39.9848434   0.00121853853   0.0267464042   948.12361
11.69635   1.35001699e+32   1.39424499   5.6027291e+13   -0.658922497   1.54332461   0.0332436887   1099.04711   223.192046   40   39.9853102   0.0012099095   0.0264921899   948.095461
11.6976   1.33541279e+32   1.39430527   5.55043962e+13   -0.658941647   1.54327125   0.0329342587   1096.60557   222.886049   40   39.985757   0.00120131648   0.0262399138   948.0673
11.69885   1.32094825e+32   1.39436499   5.49851396e+13   -0.658960794   1.54321758   0.0326269715   1094.16749   222.575478   40   39.986185   0.00119275968   0.0259895831   948.039127
11.7001   1.30662236e+32   1.39442416   5.44695478e+13   -0.658979937   1.54316359   0.032321843   1091.73349   222.260548   40   39.9865949   0.00118423931   0.0257412042   948.010945
11.70135   1.2924341e+32   1.39448279   5.3957646e+13   -0.658999077   1.54310929   0.0320188883   1089.3042   221.941472   40   39.9869876   0.00117575562   0.0254947825   947.982754
11.7026   1.27838244e+32   1.39454088   5.34494575e+13   -0.659018213   1.54305468   0.0317181213   1086.88017   221.618457   40   39.9873639   0.00116730886   0.0252503229   947.954556
11.70385   1.26446637e+32   1.39459844   5.29450038e+13   -0.659037345   1.54299977   0.0314195549   1084.46197   221.291706   40   39.9877247   0.00115889928   0.0250078293   947.926353
11.7051   1.25068484e+32   1.39465546   5.24443049e+13   -0.659056474   1.54294455   0.0311232011   1082.05011   220.961417   40   39.9880705   0.00115052716   0.0247673051   947.898146
11.70635   1.23703682e+32   1.39471196   5.19473789e+13   -0.659075599   1.54288903   0.0308290706   1079.64509   220.627785   40   39.9884023   0.00114219278   0.0245287529   947.869936
11.7076   1.22352127e+32   1.39476793   5.1454242e+13   -0.659094721   1.54283322   0.0305371734   1077.24736   220.290998   40   39.9887205   0.00113389643   0.0242921742   947.841725
11.70885   1.21013714e+32   1.39482339   5.09649094e+13   -0.659113839   1.5427771   0.0302475184   1074.85737   219.951243   40   39.9890259   0.00112563841   0.0240575705   947.813515
11.7101   1.19688338e+32   1.39487832   5.0479394e+13   -0.659132953   1.5427207   0.0299601136   1072.47553   219.608698   40   39.989319   0.00111741901   0.0238249419   947.785306
11.71135   1.18375894e+32   1.39493275   4.99977069e+13   -0.659152063   1.542664   0.0296749656   1070.10221   219.263538   40   39.9896004   0.00110923855   0.023594288   947.7571
11.7126   1.17076278e+32   1.39498666   4.95198574e+13   -0.65917117   1.54260701   0.0293920801   1067.73778   218.915934   40   39.9898707   0.00110109732   0.0233656076   947.728898
11.71385   1.15789383e+32   1.39504008   4.90458531e+13   -0.659190273   1.54254974   0.0291114617   1065.38256   218.56605   40   39.9901303   0.00109299562   0.0231388987   947.700702
11.7151   1.14515103e+32   1.39509299   4.85756999e+13   -0.659209372   1.54249218   0.0288331142   1063.03685   218.214046   40   39.9903798   0.00108493376   0.0229141587   947.672513
11.71635   1.13253334e+32   1.3951454   4.8109402e+13   -0.659228468   1.54243434   0.0285570401   1060.70094   217.860078   40   39.9906196   0.00107691203   0.0226913841   947.644332
11.7176   1.12003969e+32   1.39519733   4.76469622e+13   -0.65924756   1.54237623   0.0282832413   1058.37507   217.504295   40   39.9908501   0.00106893074   0.0224705711   947.61616
11.71885   1.10766903e+32   1.39524876   4.71883814e+13   -0.659266648   1.54231783   0.0280117184   1056.05947   217.146844   40   39.9910719   0.00106099018   0.0222517148   947.587999
11.7201   1.09542029e+32   1.39529971   4.67336591e+13   -0.659285733   1.54225917   0.0277424713   1053.75436   216.787865   40   39.9912852   0.00105309064   0.0220348101   947.559849
11.72135   1.08329243e+32   1.39535018   4.62827933e+13   -0.659304814   1.54220023   0.0274754991   1051.4599   216.427492   40   39.9914905   0.0010452324   0.021819851   947.531713
11.7226   1.07128439e+32   1.39540017   4.58357806e+13   -0.659323891   1.54214103   0.0272107997   1049.17627   216.065858   40   39.9916881   0.00103741575   0.021606831   947.50359
11.72385   1.05939511e+32   1.39544969   4.53926159e+13   -0.659342964   1.54208156   0.0269483705   1046.9036   215.703089   40   39.9918784   0.00102964095   0.0213957431   947.475482
11.7251   1.04762355e+32   1.39549874   4.49532927e+13   -0.659362034   1.54202182   0.0266882076   1044.64201   215.339306   40   39.9920617   0.00102190827   0.0211865794   947.44739
11.72635   1.03596866e+32   1.39554733   4.4517803e+13   -0.6593811   1.54196183   0.0264303066   1042.39159   214.974625   40   39.9922383   0.00101421795   0.0209793317   947.419314
11.7276   1.02442938e+32   1.39559546   4.40861376e+13   -0.659400162   1.54190157   0.0261746622   1040.15243   214.60916   40   39.9924085   0.00100657025   0.0207739912   947.391257
11.72885   1.01300468e+32   1.39564313   4.36582861e+13   -0.65941922   1.54184106   0.0259212681   1037.92457   214.243017   40   39.9925726   0.000998965388   0.0205705487   947.363219
11.7301   1.00169352e+32   1.39569035   4.32342365e+13   -0.659438274   1.5417803   0.0256701178   1035.70808   213.876301   40   39.9927309   0.000991403597   0.0203689943   947.3352
11.73135   9.90494865e+31   1.39573711   4.28139759e+13   -0.659457325   1.54171929   0.0254212035   1033.50295   213.50911   40   39.9928836   0.000983885087   0.0201693177   947.307202
11.7326   9.79407678e+31   1.39578344   4.23974901e+13   -0.659476372   1.54165802   0.0251745171   1031.30921   213.141539   40   39.9930309   0.00097641006   0.0199715084   947.279225
11.73385   9.68430936e+31   1.39582932   4.1984764e+13   -0.659495415   1.54159651   0.0249300497   1029.12683   212.77368   40   39.9931731   0.000968978708   0.0197755552   947.25127
11.7351   9.57563615e+31   1.39587477   4.15757811e+13   -0.659514454   1.54153476   0.0246877918   1026.9558   212.405618   40   39.9933105   0.000961591209   0.0195814466   947.223338
11.73635   9.46804699e+31   1.39591978   4.11705242e+13   -0.65953349   1.54147277   0.0244477333   1024.79608   212.037438   40   39.9934431   0.000954247732   0.0193891708   947.19543
11.7376   9.36153174e+31   1.39596436   4.0768975e+13   -0.659552521   1.54141054   0.0242098636   1022.6476   211.669217   40   39.9935713   0.000946948432   0.0191987156   947.167546
11.73885   9.25608035e+31   1.39600852   4.03711144e+13   -0.659571549   1.54134807   0.0239741714   1020.51031   211.301032   40   39.9936952   0.000939693452   0.0190100684   947.139687
11.7401   9.15168279e+31   1.39605225   3.99769221e+13   -0.659590573   1.54128537   0.023740645   1018.38412   210.932953   40   39.993815   0.000932482923   0.0188232164   947.111853
11.74135   9.04832911e+31   1.39609557   3.95863771e+13   -0.659609593   1.54122244   0.023509272   1016.26893   210.565049   40   39.9939309   0.000925316961   0.0186381463   947.084045
11.7426   8.94600943e+31   1.39613847   3.91994578e+13   -0.65962861   1.54115928   0.0232800397   1014.16464   210.197384   40   39.994043   0.000918195672   0.0184548447   947.056264
11.74385   8.84471391e+31   1.39618097   3.88161416e+13   -0.659647622   1.54109589   0.023052935   1012.07114   209.83002   40   39.9941515   0.00091111915   0.018273298   947.02851
11.7451   8.74443278e+31   1.39622305   3.84364053e+13   -0.659666631   1.54103228   0.0228279442   1009.9883   209.463015   40   39.9942566   0.000904087474   0.0180934922   947.000784
11.74635   8.64515636e+31   1.39626474   3.8060225e+13   -0.659685636   1.54096845   0.0226050535   1007.91597   209.096424   40   39.9943583   0.000897100713   0.0179154132   946.973085
11.7476   8.546875e+31   1.39630602   3.76875765e+13   -0.659704636   1.5409044   0.0223842483   1005.85402   208.730297   40   39.9944569   0.000890158922   0.0177390465   946.945415
11.74885   8.44957915e+31   1.39634691   3.73184344e+13   -0.659723633   1.54084013   0.0221655141   1003.80229   208.364686   40   39.9945524   0.000883262147   0.0175643779   946.917774
11.7501   8.35325932e+31   1.3963874   3.69527735e+13   -0.659742627   1.54077564   0.0219488359   1001.76061   207.999635   40   39.994645   0.000876410419   0.0173913924   946.890162
11.75135   8.25790609e+31   1.39642751   3.65905675e+13   -0.659761616   1.54071094   0.0217341984   999.728817   207.635187   40   39.9947348   0.000869603757   0.0172200754   946.862579
11.7526   8.16351012e+31   1.39646724   3.623179e+13   -0.659780601   1.54064604   0.021521586   997.706726   207.271384   40   39.9948218   0.000862842172   0.017050412   946.835026
11.75385   8.07006213e+31   1.39650658   3.5876414e+13   -0.659799583   1.54058092   0.0213109828   995.694153   206.908264   40   39.9949064   0.000856125659   0.016882387   946.807503
11.7551   7.97755293e+31   1.39654554   3.55244124e+13   -0.65981856   1.5405156   0.021102373   993.690906   206.545862   40   39.9949884   0.000849454205   0.0167159853   946.78001
11.75635   7.88597341e+31   1.39658413   3.51757573e+13   -0.659837534   1.54045007   0.0208957401   991.696786   206.184212   40   39.995068   0.000842827784   0.0165511916   946.752548
