r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   M_n* (MeV)   Z_eq   M_p* (MeV)   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
0.246   1.35635887e+35   3.08694817e-05   9.84202605e+14   -0.509350448   1.00037074   0.537747352   0   310.618615   0   483.877186   0.0266310659   0.496717901   1184.11449
0.251   1.35630218e+35   3.27899609e-05   9.84186473e+14   -0.509353264   1.00038597   0.537739717   0   310.621542   0   483.880572   0.02663069   0.496710948   1184.1079
0.256   1.35624435e+35   3.47884647e-05   9.84170016e+14   -0.509356137   1.0004015   0.537731929   0   310.624529   0   483.884027   0.0266303066   0.496703856   1184.10117
0.261   1.35618539e+35   3.68665447e-05   9.84153235e+14   -0.509359067   1.00041734   0.537723986   0   310.627575   0   483.88755   0.0266299156   0.496696624   1184.09431
0.266   1.35612529e+35   3.90257523e-05   9.84136129e+14   -0.509362054   1.00043348   0.53771589   0   310.63068   0   483.891141   0.026629517   0.496689251   1184.08731
0.271   1.35606404e+35   4.12676389e-05   9.84118699e+14   -0.509365098   1.00044993   0.537707641   0   310.633843   0   483.8948   0.0266291109   0.496681739   1184.08019
0.276   1.35600166e+35   4.35937555e-05   9.84100944e+14   -0.509368198   1.00046669   0.537699237   0   310.637066   0   483.898528   0.0266286973   0.496674087   1184.07293
0.281   1.35593814e+35   4.60056531e-05   9.84082865e+14   -0.509371356   1.00048376   0.53769068   0   310.640348   0   483.902324   0.026628276   0.496666296   1184.06554
0.286   1.35587349e+35   4.85048825e-05   9.84064461e+14   -0.509374571   1.00050113   0.53768197   0   310.643688   0   483.906188   0.0266278473   0.496658364   1184.05801
0.291   1.35580769e+35   5.10929943e-05   9.84045733e+14   -0.509377842   1.00051881   0.537673106   0   310.647088   0   483.91012   0.0266274109   0.496650292   1184.05036
0.296   1.35574075e+35   5.37715389e-05   9.8402668e+14   -0.509381171   1.00053679   0.537664088   0   310.650547   0   483.91412   0.026626967   0.49664208   1184.04257
0.301   1.35567268e+35   5.65420667e-05   9.84007303e+14   -0.509384556   1.00055509   0.537654916   0   310.654064   0   483.918189   0.0266265155   0.496633729   1184.03465
0.306   1.35560347e+35   5.94061276e-05   9.83987602e+14   -0.509387999   1.00057368   0.537645591   0   310.657641   0   483.922326   0.0266260565   0.496625237   1184.02659
0.311   1.35553312e+35   6.23652717e-05   9.83967575e+14   -0.509391498   1.00059259   0.537636113   0   310.661277   0   483.926531   0.0266255899   0.496616606   1184.0184
0.316   1.35546163e+35   6.54210485e-05   9.83947225e+14   -0.509395054   1.0006118   0.53762648   0   310.664972   0   483.930804   0.0266251157   0.496607835   1184.01009
0.321   1.35538901e+35   6.85750075e-05   9.8392655e+14   -0.509398667   1.00063132   0.537616694   0   310.668725   0   483.935146   0.026624634   0.496598924   1184.00163
0.326   1.35531524e+35   7.18286982e-05   9.8390555e+14   -0.509402338   1.00065114   0.537606754   0   310.672538   0   483.939555   0.0266241447   0.496589872   1183.99305
0.331   1.35524034e+35   7.51836696e-05   9.83884226e+14   -0.509406065   1.00067127   0.537596661   0   310.67641   0   483.944033   0.0266236479   0.496580681   1183.98433
0.336   1.3551643e+35   7.86414706e-05   9.83862578e+14   -0.509409849   1.00069171   0.537586414   0   310.680341   0   483.94858   0.0266231435   0.49657135   1183.97548
0.341   1.35508713e+35   8.220365e-05   9.83840605e+14   -0.50941369   1.00071246   0.537576013   0   310.684331   0   483.953194   0.0266226315   0.49656188   1183.9665
0.346   1.35500881e+35   8.58717562e-05   9.83818307e+14   -0.509417588   1.00073351   0.537565459   0   310.68838   0   483.957877   0.026622112   0.496552269   1183.95738
0.351   1.35492936e+35   8.96473376e-05   9.83795685e+14   -0.509421543   1.00075487   0.537554751   0   310.692488   0   483.962628   0.0266215849   0.496542518   1183.94814
0.356   1.35484877e+35   9.35319422e-05   9.83772739e+14   -0.509425555   1.00077653   0.537543889   0   310.696655   0   483.967447   0.0266210502   0.496532627   1183.93876
0.361   1.35476705e+35   9.75271179e-05   9.83749468e+14   -0.509429624   1.00079851   0.537532874   0   310.700881   0   483.972335   0.026620508   0.496522597   1183.92924
0.366   1.35468419e+35   0.000101634412   9.83725873e+14   -0.50943375   1.00082078   0.537521705   0   310.705166   0   483.977291   0.0266199583   0.496512426   1183.9196
0.371   1.35460019e+35   0.000105855373   9.83701953e+14   -0.509437932   1.00084337   0.537510383   0   310.709511   0   483.982315   0.0266194009   0.496502116   1183.90982
0.376   1.35451506e+35   0.000110191547   9.83677709e+14   -0.509442172   1.00086626   0.537498906   0   310.713914   0   483.987407   0.026618836   0.496491665   1183.89991
0.381   1.35442878e+35   0.000114644481   9.83653141e+14   -0.509446469   1.00088946   0.537487276   0   310.718377   0   483.992568   0.0266182636   0.496481075   1183.88987
0.386   1.35434138e+35   0.000119215723   9.83628248e+14   -0.509450822   1.00091297   0.537475493   0   310.722898   0   483.997797   0.0266176836   0.496470345   1183.87969
0.391   1.35425283e+35   0.000123906818   9.83603031e+14   -0.509455233   1.00093678   0.537463556   0   310.727479   0   484.003094   0.026617096   0.496459475   1183.86938
0.396   1.35416315e+35   0.000128719312   9.83577489e+14   -0.5094597   1.0009609   0.537451465   0   310.732119   0   484.00846   0.0266165009   0.496448465   1183.85894
0.401   1.35407234e+35   0.000133654753   9.83551623e+14   -0.509464225   1.00098533   0.53743922   0   310.736818   0   484.013894   0.0266158982   0.496437314   1183.84837
0.406   1.35398038e+35   0.000138714685   9.83525433e+14   -0.509468806   1.00101006   0.537426822   0   310.741576   0   484.019396   0.0266152879   0.496426024   1183.83767
0.411   1.3538873e+35   0.000143900655   9.83498918e+14   -0.509473445   1.0010351   0.53741427   0   310.746393   0   484.024967   0.0266146701   0.496414594   1183.82683
0.416   1.35379307e+35   0.000149214207   9.83472079e+14   -0.50947814   1.00106045   0.537401564   0   310.751269   0   484.030606   0.0266140447   0.496403025   1183.81586
0.421   1.35369771e+35   0.000154656886   9.83444915e+14   -0.509482892   1.00108611   0.537388705   0   310.756204   0   484.036313   0.0266134118   0.496391315   1183.80476
0.426   1.35360122e+35   0.000160230238   9.83417427e+14   -0.509487702   1.00111207   0.537375692   0   310.761199   0   484.042088   0.0266127713   0.496379465   1183.79352
0.431   1.35350359e+35   0.000165935807   9.83389615e+14   -0.509492568   1.00113834   0.537362526   0   310.766253   0   484.047932   0.0266121233   0.496367475   1183.78215
0.436   1.35340483e+35   0.000171775136   9.83361478e+14   -0.509497491   1.00116491   0.537349205   0   310.771365   0   484.053844   0.0266114677   0.496355345   1183.77065
0.441   1.35330493e+35   0.000177749771   9.83333017e+14   -0.509502471   1.00119179   0.537335731   0   310.776537   0   484.059825   0.0266108045   0.496343076   1183.75902
0.446   1.35320389e+35   0.000183861254   9.83304232e+14   -0.509507508   1.00121898   0.537322104   0   310.781769   0   484.065874   0.0266101337   0.496330666   1183.74725
0.451   1.35310173e+35   0.000190111129   9.83275122e+14   -0.509512602   1.00124648   0.537308322   0   310.787059   0   484.071991   0.0266094555   0.496318117   1183.73536
0.456   1.35299842e+35   0.00019650094   9.83245688e+14   -0.509517753   1.00127428   0.537294387   0   310.792409   0   484.078177   0.0266087696   0.496305427   1183.72333
0.461   1.35289399e+35   0.000203032229   9.8321593e+14   -0.509522961   1.00130239   0.537280299   0   310.797817   0   484.084431   0.0266080762   0.496292598   1183.71117
