r (km)   P (dyn/cm^2)   M/M_solar   rho (g/cm^3)   g_{tt}   g_{rr}   n_b (fm^{-3})   A_eq   A   Z_eq   Z   n_e (fm^{-3})   n_n(n_nf) (fm^{-3})   mu_n(mu_nf) (MeV)
10.9152969   2.29318106e+32   1.39282808   7.50162841e+13   -0.634972102   1.60476525   0.0444553191   1060.61461   253.344228   39.1083339   39.1083339   0.0016392132   0.0374222304   949.811614
10.9177969   2.24660048e+32   1.39296833   7.39608379e+13   -0.635016141   1.60464073   0.0438319668   1061.74854   252.243948   39.1827721   39.1827721   0.00161757507   0.0369005189   949.745407
10.9202969   2.20070023e+32   1.39310665   7.29107609e+13   -0.635060162   1.60451495   0.043211795   1062.85346   251.18944   39.2592832   39.2592832   0.0015961411   0.0363809391   949.678075
10.9227969   2.1554771e+32   1.39324306   7.18659245e+13   -0.635104166   1.60438791   0.0425947083   1063.92361   250.174684   39.3375566   39.3375566   0.00157489855   0.0358634659   949.61001
10.9252969   2.11092764e+32   1.39337757   7.08262279e+13   -0.635148152   1.60425963   0.0419806285   1064.9533   249.193864   39.4172891   39.4172891   0.00155383581   0.0353480871   949.541615
10.9277969   2.06704812e+32   1.39351018   6.97915967e+13   -0.63519212   1.60413011   0.0413694935   1065.93697   248.241354   39.4981848   39.4981848   0.00153294232   0.0348348021   949.473302
10.9302969   2.02383452e+32   1.39364091   6.87619804e+13   -0.635236071   1.60399935   0.0407612556   1066.86919   247.31171   39.5799541   39.5799541   0.00151220847   0.0343236214   949.405495
10.9327969   1.98128256e+32   1.39376975   6.77373503e+13   -0.635280004   1.60386737   0.0401558807   1067.74462   246.399659   39.6623143   39.6623143   0.00149162555   0.0338145652   949.338631
10.9352969   1.93938772e+32   1.39389673   6.6718013e+13   -0.63532392   1.60373418   0.0395535386   1068.56468   245.503923   39.7451435   39.7451435   0.00147118943   0.0333077564   949.273033
10.9377969   1.89814585e+32   1.39402184   6.57054213e+13   -0.635367817   1.60359977   0.0389551076   1069.35139   244.637658   39.8289218   39.8289218   0.00145091683   0.0328037087   949.208294
10.9390469   1.87776791e+32   1.39408371   6.52016635e+13   -0.635389758   1.60353212   0.0386573676   1069.72868   244.214691   39.8711248   39.8711248   0.00144084455   0.0325527672   949.176164
10.9402969   1.85755169e+32   1.39414511   6.4699583e+13   -0.635411694   1.60346417   0.0383606042   1070.09245   243.797581   39.9134944   39.9134944   0.00143081633   0.0323025707   949.144165
10.9415469   1.83749665e+32   1.39420606   6.41991627e+13   -0.635433625   1.60339592   0.0380648084   1070.44066   243.385648   39.9559998   39.9559998   0.00142083306   0.0320531336   949.11227
10.9427969   1.81760221e+32   1.39426654   6.37003875e+13   -0.635455553   1.60332738   0.0377699723   1070.77125   242.978228   39.9986109   39.9986109   0.00141089559   0.0318044703   949.080457
10.9440469   1.79786778e+32   1.39432657   6.32032436e+13   -0.635477475   1.60325853   0.037476089   1071.08221   242.574671   40.041298   40.041298   0.00140100473   0.0315565957   949.048702
10.9452969   1.77829275e+32   1.39438614   6.27077184e+13   -0.635499393   1.6031894   0.037183152   1071.37155   242.174338   40.0840317   40.0840317   0.00139116131   0.0313095252   949.016978
10.9465469   1.75887648e+32   1.39444525   6.22138011e+13   -0.635521307   1.60311997   0.0368911561   1071.63729   241.776606   40.1267832   40.1267832   0.0013813661   0.031063274   948.985261
10.9477969   1.73961832e+32   1.39450391   6.17214818e+13   -0.635543216   1.60305024   0.0366000964   1071.87748   241.380863   40.1695242   40.1695242   0.00137161988   0.0308178579   948.953527
10.9490469   1.72051758e+32   1.39456212   6.12307519e+13   -0.63556512   1.60298023   0.0363099688   1072.0902   240.98651   40.2122268   40.2122268   0.00136192337   0.0305732927   948.921748
10.9502969   1.70157359e+32   1.39461989   6.0741773e+13   -0.63558702   1.60290993   0.0360208664   1072.27764   240.594661   40.254925   40.254925   0.00135227783   0.0303296574   948.889993
10.9515469   1.68278573e+32   1.3946772   6.02548326e+13   -0.635608916   1.60283934   0.0357329538   1072.44599   240.20785   40.2977047   40.2977047   0.00134268395   0.0300870619   948.858402
10.9527969   1.6641534e+32   1.39473406   5.97699169e+13   -0.635630806   1.60276846   0.0354462243   1072.59487   239.825692   40.3405468   40.3405468   0.00133314089   0.0298454921   948.826946
10.9540469   1.64567597e+32   1.39479048   5.92870075e+13   -0.635652692   1.60269729   0.0351606685   1072.72372   239.447752   40.3834302   40.3834302   0.0013236478   0.0296049325   948.795591
10.9552969   1.62735282e+32   1.39484646   5.88060878e+13   -0.635674574   1.60262584   0.0348762777   1072.83205   239.073608   40.4263345   40.4263345   0.0013142039   0.0293653684   948.764303
10.9565469   1.60918333e+32   1.39490199   5.83271424e+13   -0.635696451   1.60255411   0.0345930445   1072.91935   238.702848   40.4692393   40.4692393   0.00130480841   0.0291267863   948.733051
10.9577969   1.59116683e+32   1.39495708   5.78501577e+13   -0.635718323   1.60248209   0.034310962   1072.98513   238.33507   40.5121248   40.5121248   0.00129546061   0.0288891734   948.701799
10.9590469   1.57330266e+32   1.39501173   5.73751214e+13   -0.635740191   1.60240979   0.0340300242   1073.02891   237.969883   40.5549717   40.5549717   0.00128615982   0.0286525178   948.670513
10.9602969   1.55559016e+32   1.39506595   5.69020225e+13   -0.635762054   1.60233721   0.033750226   1073.05022   237.606908   40.5977607   40.5977607   0.00127690538   0.0284168084   948.639159
10.9615469   1.53802864e+32   1.39511973   5.64308513e+13   -0.635783913   1.60226436   0.0334715628   1073.04861   237.245773   40.6404732   40.6404732   0.00126769667   0.0281820348   948.607702
10.9627969   1.5206174e+32   1.39517307   5.59615994e+13   -0.635805767   1.60219123   0.0331940308   1073.02364   236.886116   40.6830907   40.6830907   0.0012585331   0.0279481875   948.576106
10.9640469   1.50335573e+32   1.39522598   5.54942592e+13   -0.635827616   1.60211782   0.0329176268   1072.97488   236.527586   40.7255951   40.7255951   0.0012494141   0.0277152575   948.544337
10.9652969   1.48624292e+32   1.39527846   5.50288247e+13   -0.635849461   1.60204413   0.0326423483   1072.90191   236.169841   40.7679688   40.7679688   0.00124033915   0.0274832366   948.512358
10.9665469   1.46927824e+32   1.39533051   5.45652905e+13   -0.635871301   1.60197018   0.0323681934   1072.80432   235.812547   40.8101944   40.8101944   0.00123130774   0.0272521173   948.480132
10.9677969   1.45246095e+32   1.39538214   5.41036524e+13   -0.635893136   1.60189595   0.0320951605   1072.68173   235.455379   40.8522548   40.8522548   0.00122231938   0.0270218925   948.447623
10.9690469   1.43579031e+32   1.39543334   5.36439438e+13   -0.635914966   1.60182145   0.031823271   1072.53494   235.098369   40.894145   40.894145   0.00121337348   0.0267925825   948.414779
10.9702969   1.41926559e+32   1.39548411   5.31864501e+13   -0.635936792   1.60174668   0.0315526976   1072.3725   234.743929   40.935942   40.935942   0.00120446896   0.0265643866   948.381481
10.9715469   1.40288613e+32   1.39553446   5.27312251e+13   -0.635958614   1.60167165   0.0312834705   1072.19472   234.3923   40.9776505   40.9776505   0.00119560663   0.0263373338   948.34776
10.9727969   1.38665124e+32   1.3955844   5.22782603e+13   -0.63598043   1.60159635   0.0310155827   1071.99985   234.043141   41.0192556   41.0192556   0.00118678759   0.0261114084   948.313678
10.9740469   1.37056022e+32   1.39563391   5.18275484e+13   -0.636002242   1.60152079   0.0307490275   1071.78618   233.69612   41.060743   41.060743   0.00117801287   0.0258865951   948.279297
10.9752969   1.35461236e+32   1.39568301   5.13790826e+13   -0.636024049   1.60144496   0.0304837987   1071.55205   233.350916   41.1020985   41.1020985   0.00116928346   0.0256628796   948.244679
10.9765469   1.33880694e+32   1.39573169   5.09328569e+13   -0.636045852   1.60136887   0.0302198906   1071.29585   233.007216   41.1433082   41.1433082   0.00116060029   0.0254402483   948.209887
10.9777969   1.32314323e+32   1.39577996   5.04888659e+13   -0.636067649   1.60129252   0.0299572982   1071.016   232.664719   41.1843588   41.1843588   0.00115196423   0.0252186881   948.174984
10.9790469   1.30762048e+32   1.39582782   5.0047105e+13   -0.636089442   1.60121591   0.0296960167   1070.71098   232.323132   41.225237   41.225237   0.00114337609   0.0249981866   948.140031
10.9802969   1.29223794e+32   1.39587527   4.960757e+13   -0.636111231   1.60113904   0.0294360417   1070.37931   231.982173   41.2659303   41.2659303   0.00113483662   0.024778732   948.105093
10.9815469   1.27699483e+32   1.39592232   4.91702573e+13   -0.636133014   1.60106192   0.0291773693   1070.01956   231.641566   41.306426   41.306426   0.00112634655   0.0245603132   948.070232
10.9827969   1.26189038e+32   1.39596895   4.8735164e+13   -0.636154793   1.60098455   0.0289199958   1069.63035   231.301048   41.3467121   41.3467121   0.00111790652   0.0243429195   948.035513
10.9840469   1.2469238e+32   1.39601519   4.83022874e+13   -0.636176567   1.60090692   0.0286639181   1069.21032   230.960363   41.3867769   41.3867769   0.00110951714   0.0241265408   948.000998
10.9852969   1.23209428e+32   1.39606102   4.78716253e+13   -0.636198336   1.60082904   0.0284091331   1068.7582   230.619262   41.4266089   41.4266089   0.00110117897   0.0239111676   947.966753
10.9865469   1.21740101e+32   1.39610646   4.74431759e+13   -0.636220101   1.60075091   0.0281556382   1068.27271   230.277507   41.466197   41.466197   0.0010928925   0.0236967906   947.932842
10.9877969   1.20284318e+32   1.3961515   4.70169377e+13   -0.63624186   1.60067253   0.0279034308   1067.75268   229.934867   41.5055304   41.5055304   0.0010846582   0.0234834013   947.899328
10.9890469   1.18841998e+32   1.39619614   4.6593056e+13   -0.636263615   1.60059391   0.0276526022   1067.20312   229.59247   41.5446488   41.5446488   0.00107647516   0.0232710316   947.866053
10.9902969   1.17413061e+32   1.39624039   4.61716867e+13   -0.636285366   1.60051504   0.0274032513   1066.63051   229.251634   41.5835969   41.5835969   0.00106834161   0.0230597376   947.832794
10.9915469   1.15997431e+32   1.39628425   4.5752811e+13   -0.636307111   1.60043593   0.0271553662   1066.03441   228.912106   41.6223601   41.6223601   0.00106025699   0.0228495395   947.79958
